"Date Time, GMT+07:00","Water Level, meters"
2022-09-29 09:45:00,0.6911543400596003
2022-09-29 09:50:00,0.6631543400596003
2022-09-29 09:55:00,0.6301543400596004
2022-09-29 10:00:00,0.5991543400596002
2022-09-29 10:05:00,0.5741543400596003
2022-09-29 10:10:00,0.5521543400596005
2022-09-29 10:15:00,0.5151543400596001
2022-09-29 10:20:00,0.48815434005960046
2022-09-29 10:25:00,0.4581543400596002
2022-09-29 10:30:00,0.4331543400596003
2022-09-29 10:35:00,0.4081543400596004
2022-09-29 10:40:00,0.38615434005960014
2022-09-29 10:45:00,0.3661543400596001
2022-09-29 10:50:00,0.3491543400596002
2022-09-29 10:55:00,0.3291543400596002
2022-09-29 11:00:00,0.3061543400596003
2022-09-29 11:05:00,0.2851543400596004
2022-09-29 11:10:00,0.26315434005960037
2022-09-29 11:15:00,0.24815434005960024
2022-09-29 11:20:00,0.22415434005960022
2022-09-29 11:25:00,0.2041543400596002
2022-09-29 11:30:00,0.1831543400596003
2022-09-29 11:35:00,0.1621543400596004
2022-09-29 11:40:00,0.14215434005960037
2022-09-29 11:45:00,0.12415434005960035
2022-09-29 11:50:00,0.10315434005960022
2022-09-29 11:55:00,0.08415434005960032
2022-09-29 12:00:00,0.06715434005960041
2022-09-29 12:05:00,0.0471543400596004
2022-09-29 12:10:00,0.025154340059600377
2022-09-29 12:15:00,0.004154340059600248
2022-09-29 12:20:00,-0.01584565994039977
2022-09-29 12:25:00,-0.03984565994039979
2022-09-29 12:30:00,-0.05984565994039959
2022-09-29 12:35:00,-0.08284565994039972
2022-09-29 12:40:00,-0.09984565994039962
2022-09-29 12:45:00,-0.12284565994039975
2022-09-29 12:50:00,-0.14484565994039977
2022-09-29 12:55:00,-0.16584565994039968
2022-09-29 13:00:00,-0.1908456599403996
2022-09-29 13:05:00,-0.21184565994039972
2022-09-29 13:10:00,-0.23384565994039974
2022-09-29 13:15:00,-0.26084565994039965
2022-09-29 13:20:00,-0.2828456599403997
2022-09-29 13:25:00,-0.3068456599403997
2022-09-29 13:30:00,-0.3318456599403996
2022-09-29 13:35:00,-0.36484565994039975
2022-09-29 13:40:00,-0.38184565994039965
2022-09-29 13:45:00,-0.4068456599403998
